id,mean,min,max,median,stdev,mode,coefficient_of_variation,quantiles,skewness,kurtosis,tree_count,acre,tree_per_acre
1,52.775962829589844,0,159.9097137451172,56.3005172809431,32.92759323120117,0,0.6239126920700073,,-0.07322770103711766,,637,25.180186286937015,25.297668283354323
2,45.319950103759766,0,133.0998992919922,47.9864804128186,28.299638748168945,0,0.6244410276412964,,-0.055889297633808545,,1253,48.94103429686517,25.60223783583296
3,41.207881927490234,0,120.90007781982422,39.65781010105783,27.168773651123047,0,0.6593101024627686,,0.20536497703228104,,218,7.381816753695364,29.53202541784425
4,NA,NA,NA,NA,NA,NA,NA,,NA,,0,10.274703192217016,0
5,33.50457763671875,0,116.08975219726563,32.46959575804774,28.4166202545166,0,0.8481414318084717,,0.24850803093581486,,1149,51.539951969747804,22.29338515244298
6,NA,NA,NA,NA,NA,NA,NA,,NA,,0,23.572516375732977,0
7,44.32073974609375,0,126.99998474121094,47.624837330283526,28.09834861755371,0,0.6339774131774902,,-0.05432393617379737,,705,27.768293729115886,25.388668345177667
8,46.35761642456055,0,135.5897674560547,48.47004092558694,29.324522018432617,0,0.6325717568397522,,0.08486584596158,,766,28.294899595400377,27.072016898922698
9,46.2281379699707,0,146.66981506347656,48.610502577663205,29.320083618164063,0,0.6342475414276123,,0.005448877314666803,,1393,56.44911662792435,24.677091214407213
10,41.770851135253906,0,121.91973114013672,47.889794967229925,27.713638305664063,0,0.6634683609008789,,-0.20155620100979504,,436,17.378668688862557,25.08822786174747
11,64.620513916015625,0,144.159912109375,66.34993440554682,29.429443359375,0,0.45541954040527344,,-0.2067749991875834,,659,27.1205527593831,24.298914769427068
12,41.74637222290039,0,132.059814453125,42.58982742652257,29.62898063659668,0,0.7097378373146057,,0.15618339440923432,,357,14.377149892865209,24.831068929535505
13,NA,NA,NA,NA,NA,NA,NA,,NA,,0,13.5029719287144,0
14,52.417171478271484,0,153.1299591064453,60.47371072734514,35.37995910644531,0,0.6749688982963562,,-0.20272063271753993,,1433,55.85717916592614,25.65471478148247
15,52.97126007080078,0,151.60028076171875,56.949858229255796,31.482879638671875,0,0.5943388938903809,,-0.19037164123333572,,1023,41.15558977067732,24.8568907820359
16,39.378543853759766,0,128.1101531982422,37.41993707616894,28.610210418701172,0,0.7265431880950928,,0.2702244589926997,,536,20.205597404501948,26.52730277010149
17,50.11840057373047,0,168.81988525390625,53.35850627688296,30.792512893676758,0,0.6143953800201416,,-0.0035878499294371416,,587,23.514803615261968,24.962998186343157
18,43.505313873291016,0,113.05962371826172,46.82515087289491,21.981090545654297,0,0.5052506923675537,,-0.30202194032713986,,618,22.56268535950317,27.390356695272743
19,62.99806594848633,0,155.96966552734375,64.45475494940781,31.727182388305664,0,0.503621518611908,,-0.05188002274754203,,211,14.67049669307762,14.382607788566686
20,55.79836654663086,0,130.7397918701172,58.85021364721126,25.25225830078125,0,0.4525626301765442,,-0.3788210443518892,,678,35.351158859185084,19.1790035144446
21,45.042137145996094,0,111.90019226074219,49.40650266878711,24.607524871826172,0,0.5463223457336426,,-0.2847230018094251,,277,18.878101991765348,14.673085256178176
22,54.42948532104492,0,140.1497802734375,59.510021657284895,32.64776611328125,0,0.5998176336288452,,-0.1553889953945444,,512,18.709770958771855,27.365380427597103
23,22.120201110839844,0,101.989990234375,21.509948646521536,11.579792022705078,0,0.5234939455986023,,1.0096948534280195,,396,13.486531844337787,29.362626698298083
24,48.744789123535156,0,143.32008361816406,53.91486926560602,31.837495803833008,0,0.6531466841697693,,-0.12772483008775018,,823,34.422609493966334,23.908704543281566
25,45.92253875732422,0,119.0401840209961,50.85183681705197,27.352466583251953,0,0.5956218242645264,,-0.2507768504399367,,547,20.420913758495004,26.786264633846297
26,NA,NA,NA,NA,NA,NA,NA,,NA,,0,39.77991725206972,0
27,51.644344329833984,0,135.69029235839844,53.790050653957636,27.842782974243164,0,0.5391255021095276,,-0.1193983595986112,,1018,42.29559579695154,24.068699844946327
28,49.34162139892578,0,136.06996154785156,57.47632427753045,32.47719955444336,0,0.6582110524177551,,-0.23182334737194205,,927,36.84112724892289,25.162096526975905
29,50.094112396240234,0,130.41018676757813,56.95980175532318,33.421207427978516,0,0.667168378829956,,-0.16006434889510285,,510,19.070172739431154,26.743334052002552
30,51.753929138183594,0,167.42977905273438,47.130397998971624,37.176029205322266,0,0.7183228135108948,,0.37819946057426795,,1576,64.91898771606914,24.27641057640674
31,28.255599975585938,0,152.06004333496094,19.21017365489927,28.505239486694336,0,1.008834958076477,,1.8563900296572262,,88,4.352580156684928,20.217893027161107
32,47.54075241088867,0,134.1299591064453,54.95842365092615,31.946964263916016,0,0.6719911694526672,,-0.2188321475203238,,1680,60.21314762103136,27.900883218621285
33,25.210268020629883,0,123.60980987548828,14.842516384591448,27.28660774230957,0,1.082360863685608,,1.2317365080733211,,78,3.7523355053576877,20.787053793198783
34,42.533782958984375,0,133.58009338378906,41.67987722128609,33.226646423339844,0,0.7811825275421143,,0.19606636610766234,,175,6.483856348921931,26.990110604331512
35,NA,NA,NA,NA,NA,NA,NA,,NA,,0,30.2554033710639,0
36,NA,NA,NA,NA,NA,NA,NA,,NA,,0,47.46606789767101,0
37,51.787010192871094,0,171.66018676757813,57.65710897984175,38.2721061706543,0,0.7390291094779968,,-0.013720306291129539,,1210,51.60667037277936,23.4465814449876
38,38.02096176147461,0,93.17032623291016,40.89973592281414,15.482799530029297,0,0.407217413187027,,-0.6954893001078332,,232,15.05717952026685,15.407932122196575
